name,alt_text,categories
address-the-issue,BUT!,"black-and-white,mostly-black,twitter"
anime-child,I'm just a typical 13 year old student.,comic
authentic-lobster,The ideal is on the wall beautiful woman,image
awful-food,Just Awful Food!,"buttercup-festival,mostly-white"
babashook,His first pride,"image,tumblr,babadook"
bacon,fly to my mouth,image
baked-goods,Please. There is.,"color,mostly-white,text,naomi-wolf"
bees,He'll be so queasy.,"buttercup-festival,mostly-white"
big-dial,Turning a big dial,"black-and-white,mostly-black,dril"
bill-stickers,bill stickers is innocent,image
bread,that's it you have to decide,"black-and-white,louder-and-smarter,mostly-white"
bucket,I has a bucket. Noooo they be stealin' my bucket,image
butts,Butts,image
camel,I am a flying camel pleased to meet you please ignore the crane,image
candles,someone please help,"black-and-white,dril,mostly-black"
cat,Have you seen this cat? Because it is awesome.,image
cathy-lou,I guess that's me,"black-and-white,mostly-white,twitter"
chicken-tikka-masala,mmf,"black-and-white,louder-and-smarter,mostly-white"
columbo-system,Just one more question.,image
come-at-me,Come at me nighthawks,"image,mostly-black"
come-on-little-pony,Come on little pony this is no place for you.,image
corn-cob,I'm not owned,"black-and-white,dril,mostly-black"
correction,Issuing correction on a previous post of mine,"black-and-white,dril,mostly-black"
crab-rangoon,Things of that nature,"black-and-white,mostly-black,twitter"
creedence,Who will stop the rain?,"image,mostly-black"
deer-whale,I just want some shrimps lol.,comic
ducklings,Wow - a motherless clutch of ducklings,"buttercup-festival,mostly-white"
ethanol-thieves,My fuel!,"kelly,mostly-white"
eventually-everything-connects,You'll get totally overwhelmed.,comic
everything-so-much,Everything happens so much.,"black-and-white,mostly-black,twitter"
experiences-not-things,fill ur life with experiences,image
fall-of-rome,The senate is lying to us.,"black-and-white,mostly-white,twitter"
fancy-dancy-magic-prancy,Put a thousand on fancy-dancy-magic-prancy,perry-bible-fellowship
fren,Could be a fren,"mostly-white,sarahs-scribbles"
frustrating,it's so frustrating,"black-and-white,mostly-white,twitter"
glorious,I'll toss the waffles into the air a few times.,"mostly-white,buttercup-festival"
goblin-time,Coming up... GOBLIN TIME,image
halloween-party,I dressed as the babadook,"image,twitter,babadook"
his-arrival,His arrival was foretold in the ancient murals.,"image,twitter"
hot-and-thirsty,Aren't you Benjamin Franklin?,comic
hot-sal,Piping hot boiling ranch,"chainsawsuit,mostly-white"
intricate-rituals,you construct intricate rituals,"art,image,kreuger,mostly-white"
long-bacon,Long bacon store,image
lost-kingdom,Let us begin anew.,perry-bible-fellowship
manta-ray,Fly Little Bird! Fly!,"buttercup-festival,mostly-white"
mech,my body is a mech,"black-and-white,mostly-white,louder-and-smarter"
miette,Like the football?,"black-and-white,mostly-white,twitter"
mushroom,you cannot kill me in a way that matters,"black-and-white,mostly-white,text,tumblr"
my-son,Please. My son.,image
my-tee-shirt,Questions answered by my shirt,"black-and-white,mostly-black,text,twitter"
my-wets,Please. My wets,"black-and-white,mostly-white,twitter"
new-yorker-16-11-14,oh sweet jesus please god no,"blitt,new-yorker"
nickel,Hey a nickel.,"buttercup-festival,mostly-white"
no-no,No! No!,"image,naomi-wolf"
opinions,it only makes my opinions worse,"black-and-white,mostly-black,dril"
pale-blue-dot,.,"art,image,mostly-black"
pelican,pelican Mouth perfec t size to put baby,"image,mostly-black,tumblr"
pizzas-to-avoid,Pizzas To Avoid,"buttercup-festival,mostly-white"
please-abraham,I am not that man,"black-and-white,image,mostly-white,twitter"
pumpkin-spice-semiotics,Initially the sign is a basic representation of reality.,image
raccoons,Death is coming. Eat trash. Be free.,"image,mostly-black"
real-sexy,Just like you asked,"image,mostly-black,twitter"
seis-leches,En esta economia?,"image,mostly-black,twitter"
sgt-grumbles,Launch the counter-offensive,"color,perry-bible-fellowship"
sleepy-time-tea,goodbye forever,"black-and-white,mostly-black,text,twitter"
something-has-gone-deeply-wrong,something has gone deeply wrong,"black-and-white,mostly-white,tumblr"
sowing-reaping,Yeah!,"black-and-white,mostly-black,text,twitter"
stahp,Boats... What r u doin'? Boats... stahp.,image
strictly-for-adults,WARNING: The Following Comic Is Strictly For Adults,"mostly-white,buttercup-festival"
swords,me absolutely twisted coming home with a load of swords,"image,mostly-white,twitter"
that-computer,that rotten computer ruined both our evenings,comic
the-grink,Was the grink there?,"black-and-white,mostly-black,text,twitter"
the-matrix,They did the matrix to a cow,"mostly-black,image,twitter"
three-generations,Me full of microplastics,image
toot,Do not toot it,comic,
torment-nexus,A cautionary tale,"black-and-white,mostly-black,text,twitter"
trolley,no that's someone else,"mostly-white,louder-and-smarter"
two-cops,I went to the academy twice,"mostly-white,chainsawsuit"
untitled-questions,Untitled (Questions),"art,image,kreuger"
warhammer-and-magic,it's because I play warhammer and magic,"mostly-black,image,twitter"
washing-machine,If you turn on the washing machine now THIS MAN MAY DIE.,"mostly-black,image"
where-did-i-put-it,Where did I put it?,"image,mostly-black,twitter"
wimdy,wimdy,"image,mostly-white,tumblr"
wise-man,There's actually zero difference between good and bad things.,"black-and-white,mostly-black,dril"
yes-ha-ha,If Drugs Are Legalized,"kelly,mostly-white"
